Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.00025
================================================================================
Training started at 20260118-092144
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   77 |OrigR: 202.0 ShpR: 531.7 |X:  269.0( 808.0) AvgX100: 258.7 |AvgR: 410.3( 414.4) 43 |Ls: 3.2801 |Eps: 0.8247 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   78 |OrigR: 683.0 ShpR:1512.3 |X:  806.0( 808.0) AvgX100: 265.7 |AvgR: 424.4( 424.4)  0 |Ls: 2.9689 |Eps: 0.8226 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   79 |OrigR: -59.0 ShpR:  64.1 |X:   58.0( 808.0) AvgX100: 263.1 |AvgR: 419.9( 424.4)  1 |Ls: 2.8792 |Eps: 0.8206 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   80 |OrigR: 133.0 ShpR: 397.3 |X:  214.0( 808.0) AvgX100: 262.4 |AvgR: 419.6( 424.4)  2 |Ls: 3.0136 |Eps: 0.8185 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   81 |OrigR: 364.0 ShpR: 864.4 |X:  446.0( 808.0) AvgX100: 264.7 |AvgR: 425.1( 425.1)  0 |Ls: 3.2290 |Eps: 0.8165 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   82 |OrigR: -73.0 ShpR:  46.2 |X:   51.0( 808.0) AvgX100: 262.1 |AvgR: 420.4( 425.1)  1 |Ls: 3.0407 |Eps: 0.8144 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   83 |OrigR: 179.0 ShpR: 473.9 |X:  260.0( 808.0) AvgX100: 262.1 |AvgR: 421.1( 425.1)  2 |Ls: 3.2313 |Eps: 0.8124 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   84 |OrigR: 191.0 ShpR: 507.1 |X:  263.0( 808.0) AvgX100: 262.1 |AvgR: 422.1( 425.1)  3 |Ls: 3.1037 |Eps: 0.8104 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   85 |OrigR: 115.0 ShpR: 473.5 |X:  259.0( 808.0) AvgX100: 262.1 |AvgR: 422.7( 425.1)  4 |Ls: 3.4865 |Eps: 0.8083 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   86 |OrigR: 196.0 ShpR: 516.6 |X:  265.0( 808.0) AvgX100: 262.1 |AvgR: 423.8( 425.1)  5 |Ls: 3.3386 |Eps: 0.8063 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   87 |OrigR: 284.0 ShpR: 691.9 |X:  371.0( 808.0) AvgX100: 263.3 |AvgR: 426.9( 426.9)  0 |Ls: 3.3764 |Eps: 0.8043 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
